instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,INECODE
NSE_EQ|INE062D01024,13656,ALICON,ALICON CASTALLOY LIMITED,898.95,,,0.05,1,EQUITY,,NSE_EQ,INE062D01024
NSE_EQ|INE269A01021,6596,SONATSOFTW,SONATA SOFTWARE LTD,364.65,,,0.05,1,EQUITY,,NSE_EQ,INE269A01021
NSE_EQ|INE0BY001018,2783,JUBLINGREA,JUBILANT INGREVIA LIMITED,754.4,,,0.05,1,EQUITY,,NSE_EQ,INE0BY001018
NSE_EQ|INE0B9K01025,24386,BANSALWIRE,BANSAL WIRE INDUSTRIES L,390.95,,,0.05,1,EQUITY,,NSE_EQ,INE0B9K01025
NSE_EQ|INE925Y01036,1610,GODHA,GODHA CABCON INSULAT LTD,0.6,,,0.01,1,EQUITY,,NSE_EQ,INE925Y01036
NSE_EQ|INE645S01016,5279,ROLEXRINGS,ROLEX RINGS LIMITED,1410.9,,,0.1,1,EQUITY,,NSE_EQ,INE645S01016
NSE_EQ|INE0QRL01017,25398,ARKADE,ARKADE DEVELOPERS LIMITED,185.3,,,0.01,1,EQUITY,,NSE_EQ,INE0QRL01017
NSE_EQ|IN0020120039,7019,833GS2026,GOI LOAN 8.33% 2026,101.5,,,0.01,1,EQUITY,,NSE_EQ,IN0020120039
NSE_EQ|INE098201036,9027,VCL,VAXTEX COTFAB LIMITED,1.25,,,0.01,1,EQUITY,,NSE_EQ,INE098201036
NSE_EQ|INE009A01021,1594,INFY,INFOSYS LIMITED,1469.6,,,0.1,1,EQUITY,,NSE_EQ,INE009A01021
NSE_EQ|INE962Y01021,4986,IRCON,IRCON INTERNATIONAL LTD,174.34,,,0.01,1,EQUITY,,NSE_EQ,INE962Y01021
NSE_EQ|INE530B07344,17024,85IFL26,SEC RE NCD 8.5% SR.III,976,,,0.01,1,EQUITY,,NSE_EQ,INE530B07344
NSE_EQ|INE108E01023,18931,SUNDARAM,SUNDARAM MULTI PAP LTD,2.06,,,0.01,1,EQUITY,,NSE_EQ,INE108E01023
NSE_EQ|INF204KB14I2,10576,NIFTYBEES,NIP IND ETF NIFTY BEES,277.35,,,0.01,1,EQUITY,,NSE_EQ,INF204KB14I2
NSE_EQ|INE530B07351,17034,IIFLZC26B,SEC RE NCD 0% SR.IV,1151.2,,,0.01,1,EQUITY,,NSE_EQ,INE530B07351
NSE_EQ|INE500L01026,11212,SHK,S H KELKAR AND CO. LTD.,254.7,,,0.05,1,EQUITY,,NSE_EQ,INE500L01026
NSE_EQ|INE048G01026,14672,NAVINFLUOR,NAVIN FLUORINE INT. LTD,5011.5,,,0.5,1,EQUITY,,NSE_EQ,INE048G01026
NSE_EQ|INE530B07310,13852,865IIFL28,SEC RE NCD 8.65% SR.V,970.2,,,0.01,1,EQUITY,,NSE_EQ,INE530B07310
NSE_EQ|INE0UOS01011,25222,SANOFICONR,SANOFI CONS HEALTHC IND L,4860.2,,,0.1,1,EQUITY,,NSE_EQ,INE0UOS01011
NSE_EQ|INE530L07210,17864,957NIDO26,SEC RED NCD 9.57% SR. V,983.6,,,0.01,1,EQUITY,,NSE_EQ,INE530L07210
NSE_EQ|INE305C01029,25392,PANAMAPET,PANAMA PETROCHEM LTD,351.35,,,0.05,1,EQUITY,,NSE_EQ,INE305C01029
NSE_EQ|INE161A01038,11522,NIITLTD,NIIT LIMITED,113.33,,,0.01,1,EQUITY,,NSE_EQ,INE161A01038
NSE_EQ|INE224A01026,1235,GREAVESCOT,GREAVES COTTON LTD.,218.18,,,0.01,1,EQUITY,,NSE_EQ,INE224A01026
NSE_EQ|INE0PEQ01016,20874,RBZJEWEL,RBZ JEWELLERS LIMITED,131.84,,,0.01,1,EQUITY,,NSE_EQ,INE0PEQ01016
NSE_EQ|INE129Z01016,381,SINTERCOM,SINTERCOM INDIA LIMITED,124.79,,,0.01,1,EQUITY,,NSE_EQ,INE129Z01016
NSE_EQ|INE430N01022,13702,VISHWARAJ,VISHWARAJ SUGAR IND LTD,9.21,,,0.01,1,EQUITY,,NSE_EQ,INE430N01022
NSE_EQ|INE810G01011,4693,SHYAMMETL,SHYAM METALICS AND ENGY L,978.6,,,0.05,1,EQUITY,,NSE_EQ,INE810G01011
NSE_EQ|INE587G01015,10282,KAYA,KAYA LIMITED,420,,,0.05,1,EQUITY,,NSE_EQ,INE587G01015
NSE_EQ|INF174KA1HJ8,14858,GOLD1,KOTAK GOLD ETF,82.38,,,0.01,1,EQUITY,,NSE_EQ,INF174KA1HJ8
NSE_EQ|INE918Z01012,12092,KAYNES,KAYNES TECHNOLOGY IND LTD,6371.5,,,0.5,1,EQUITY,,NSE_EQ,INE918Z01012
NSE_EQ|INE376G01013,11373,BIOCON,BIOCON LIMITED.,383.1,,,0.05,1,EQUITY,,NSE_EQ,INE376G01013
NSE_EQ|INE099Z01011,2463,MIDHANI,MISHRA DHATU NIGAM LTD,384.7,,,0.05,1,EQUITY,,NSE_EQ,INE099Z01011
NSE_EQ|INE565V01010,334,VALIANTORG,VALIANT ORGANICS LIMITED,337.85,,,0.05,1,EQUITY,,NSE_EQ,INE565V01010
NSE_EQ|INE278B01020,13569,RAMANEWS,SHREE RAMA NEWSPRINT LTD,33.6,,,0.01,1,EQUITY,,NSE_EQ,INE278B01020
NSE_EQ|INE613C01026,29482,MCLOUD,MAGELLANIC CLOUD LIMITED,83.82,,,0.01,1,EQUITY,,NSE_EQ,INE613C01026
NSE_EQ|INE043A01012,1162,GTL,GTL LTD,9.35,,,0.01,1,EQUITY,,NSE_EQ,INE043A01012
NSE_EQ|INE351F01018,11763,JPPOWER,JAIPRAKASH POWER VEN. LTD,20.14,,,0.01,1,EQUITY,,NSE_EQ,INE351F01018
NSE_EQ|INE420C01059,25468,PAISALO,PAISALO DIGITAL LIMITED,30.49,,,0.01,1,EQUITY,,NSE_EQ,INE420C01059
NSE_EQ|INE117B01020,30191,CURAA,CURA TECHNOLOGIES LIMITED,253.07,,,0.01,1,EQUITY,,NSE_EQ,INE117B01020
NSE_EQ|INE546V01010,6042,EIFFL,EURO (I) FRESH FOODS LTD,240.24,,,0.01,1,EQUITY,,NSE_EQ,INE546V01010
NSE_EQ|INE183W23014,20817,IRBINVIT,IRB INVIT FUND,60.95,,,0.01,1,EQUITY,,NSE_EQ,INE183W23014
NSE_EQ|INE0DAB01012,25159,RVTH,REVATHI EQUIPMENT INDIA L,944.9,,,0.05,1,EQUITY,,NSE_EQ,INE0DAB01012
NSE_EQ|INE217A01012,3827,ZUARIIND,ZUARI INDUSTRIES LIMITED,291.35,,,0.05,1,EQUITY,,NSE_EQ,INE217A01012
NSE_EQ|INE634S01028,15380,MANKIND,MANKIND PHARMA LIMITED,2566.3,,,0.1,1,EQUITY,,NSE_EQ,INE634S01028
NSE_EQ|INF174KA1GC5,2627,IT,KOTAKMAMC - KOTAKIT,37.72,,,0.01,1,EQUITY,,NSE_EQ,INF174KA1GC5
NSE_EQ|INE024D01016,20527,PRUDMOULI,PRUDENTIAL SUGAR CORPORAT,41.5,,,0.01,1,EQUITY,,NSE_EQ,INE024D01016
NSE_EQ|INE867A01022,13575,MANUGRAPH,MANUGRAPH INDIA LIMITED,19.11,,,0.01,1,EQUITY,,NSE_EQ,INE867A01022
NSE_EQ|INE080A01014,3748,WEIZMANIND,WEIZMANN LTD,114.75,,,0.01,1,EQUITY,,NSE_EQ,INE080A01014
NSE_EQ|INE00M201021,12489,SWSOLAR,STRLNG & WIL REN ENE LTD,269.45,,,0.05,1,EQUITY,,NSE_EQ,INE00M201021
NSE_EQ|INE458F01011,17999,UNITEDTEA,UNITED NILGIRI TEA LTD,460.05,,,0.05,1,EQUITY,,NSE_EQ,INE458F01011
NSE_EQ|INE619A01035,17029,PATANJALI,PATANJALI FOODS LIMITED,1861,,,0.1,1,EQUITY,,NSE_EQ,INE619A01035
NSE_EQ|INE676A01027,8164,BBOX,BLACK BOX LIMITED,504.45,,,0.05,1,EQUITY,,NSE_EQ,INE676A01027
NSE_EQ|INE304A01026,11325,MUKANDLTD,MUKAND LTD.,140.6,,,0.01,1,EQUITY,,NSE_EQ,INE304A01026
NSE_EQ|INE465A01025,422,BHARATFORG,BHARAT FORGE LTD,1146.1,,,0.1,1,EQUITY,,NSE_EQ,INE465A01025
NSE_EQ|INE611L01021,21957,INDTERRAIN,IND TERRAIN FASHIONS LTD,37.85,,,0.01,1,EQUITY,,NSE_EQ,INE611L01021
NSE_EQ|INE121A07RO8,20435,850CIFCL26,SEC RE NCD 8.50% SR 3,1031,,,0.01,1,EQUITY,,NSE_EQ,INE121A07RO8
NSE_EQ|INE102I01027,14813,ADSL,ALLIED DIGITAL SERV. LTD,157.35,,,0.01,1,EQUITY,,NSE_EQ,INE102I01027
NSE_EQ|INE713B01026,11852,SURYALAXMI,SURYALAKSHMI COT MIL LTD,68.8,,,0.01,1,EQUITY,,NSE_EQ,INE713B01026
NSE_EQ|INE221H01019,13745,GTLINFRA,GTL INFRA.LTD,1.52,,,0.01,1,EQUITY,,NSE_EQ,INE221H01019
NSE_EQ|INE121A07QY9,15374,840CIFCL28,SEC RE NCD 8.40% SR.V,1019,,,0.01,1,EQUITY,,NSE_EQ,INE121A07QY9
NSE_EQ|INE589A01014,8585,NLCINDIA,NLC INDIA LIMITED,233.94,,,0.01,1,EQUITY,,NSE_EQ,INE589A01014
NSE_EQ|INE602W01027,17271,SENCO,SENCO GOLD LIMITED,314.3,,,0.05,1,EQUITY,,NSE_EQ,INE602W01027
NSE_EQ|INE191B01025,11821,WELCORP,WELSPUN CORP LIMITED,897.5,,,0.05,1,EQUITY,,NSE_EQ,INE191B01025
NSE_EQ|INE110A01019,530,BPL,BPL LTD,79.69,,,0.01,1,EQUITY,,NSE_EQ,INE110A01019
NSE_EQ|INE463A01038,404,BERGEPAINT,BERGER PAINTS (I) LTD,566.9,,,0.05,1,EQUITY,,NSE_EQ,INE463A01038
NSE_EQ|INE0PSC01024,21247,DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L,34.66,,,0.01,1,EQUITY,,NSE_EQ,INE0PSC01024
NSE_EQ|INE0G5901015,22463,EPACK,EPACK DURABLE LIMITED,380.4,,,0.05,1,EQUITY,,NSE_EQ,INE0G5901015
NSE_EQ|INE597L01014,22415,LOVABLE,LOVABLE LINGERIE LTD,93.13,,,0.01,1,EQUITY,,NSE_EQ,INE597L01014
NSE_EQ|INE09KD01013,15404,ATAM,ATAM VALVES LIMITED,97.73,,,0.01,1,EQUITY,,NSE_EQ,INE09KD01013
NSE_EQ|INE955D01029,11905,GENUSPOWER,GENUS POWER INFRASTRU LTD,363.85,,,0.05,1,EQUITY,,NSE_EQ,INE955D01029
NSE_EQ|INE397D01024,10604,BHARTIARTL,BHARTI AIRTEL LIMITED,1884.4,,,0.1,1,EQUITY,,NSE_EQ,INE397D01024
NSE_EQ|INE192R01011,19913,DMART,AVENUE SUPERMARTS LIMITED,4196,,,0.1,1,EQUITY,,NSE_EQ,INE192R01011
NSE_EQ|INE583C01021,14838,DECCANCE,DECCAN CEMENTS LIMITED,1012.5,,,0.1,1,EQUITY,,NSE_EQ,INE583C01021
NSE_EQ|INE646X01014,874,ASTRON,ASTRON PAPER BORD MIL LTD,14.58,,,0.01,1,EQUITY,,NSE_EQ,INE646X01014
NSE_EQ|INE530B08102,2877,96IIFL28A,UNSE RE NCD 9.6% SR.II,981.13,,,0.01,1,EQUITY,,NSE_EQ,INE530B08102
NSE_EQ|INE615P01015,17704,QUESS,QUESS CORP LIMITED,290.6,,,0.05,1,EQUITY,,NSE_EQ,INE615P01015
NSE_EQ|INE418L01021,2987,NAZARA,NAZARA TECHNOLOGIES LTD,1339.4,,,0.1,1,EQUITY,,NSE_EQ,INE418L01021
NSE_EQ|INE266Y01019,936,DPABHUSHAN,D. P. ABHUSHAN LIMITED,1646.4,,,0.1,1,EQUITY,,NSE_EQ,INE266Y01019
NSE_EQ|INE228I01012,25092,ASAHISONG,ASAHI SONGWON COLOR LTD,352,,,0.05,1,EQUITY,,NSE_EQ,INE228I01012
NSE_EQ|INF732E01045,10939,JUNIORBEES,NIP IND ETF JUNIOR BEES,711.2,,,0.01,1,EQUITY,,NSE_EQ,INF732E01045
NSE_EQ|INF732E01037,11006,LIQUIDBEES,NIP IND ETF LIQUID BEES,999.99,,,0.01,1,EQUITY,,NSE_EQ,INF732E01037
NSE_EQ|INE0MB501011,23056,JGCHEM,J.G.CHEMICALS LIMITED,480.95,,,0.05,1,EQUITY,,NSE_EQ,INE0MB501011
NSE_EQ|INE686F01025,16713,UBL,UNITED BREWERIES LTD,1924.9,,,0.1,1,EQUITY,,NSE_EQ,INE686F01025
NSE_EQ|INE00S901012,7411,NILASPACES,NILA SPACES LIMITED,13.31,,,0.01,1,EQUITY,,NSE_EQ,INE00S901012
NSE_EQ|INE170E01023,11045,SATIA,SATIA INDUSTRIES LIMITED,82.91,,,0.01,1,EQUITY,,NSE_EQ,INE170E01023
NSE_EQ|INE646B01010,6278,MEDICAMEQ,MEDICAMEN BIOTECH LIMITED,386.5,,,0.05,1,EQUITY,,NSE_EQ,INE646B01010
NSE_EQ|INE123F01029,17957,MMTC,MMTC LIMITED,66.27,,,0.01,1,EQUITY,,NSE_EQ,INE123F01029
NSE_EQ|INE008A01015,1476,IDBI,IDBI BANK LIMITED,90.19,,,0.01,1,EQUITY,,NSE_EQ,INE008A01015
NSE_EQ|INE622W01025,27061,ACMESOLAR,ACME SOLAR HOLDINGS LTD,276.55,,,0.05,1,EQUITY,,NSE_EQ,INE622W01025
NSE_EQ|INE884A01027,11364,VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,224.32,,,0.01,1,EQUITY,,NSE_EQ,INE884A01027
NSE_EQ|INE877F01012,11355,PTC,PTC INDIA LIMITED,180.55,,,0.01,1,EQUITY,,NSE_EQ,INE877F01012
NSE_EQ|INE858F01012,13300,NITCO,NITCO LIMITED,125.68,,,0.01,1,EQUITY,,NSE_EQ,INE858F01012
NSE_EQ|INE477L07AR0,7671,875IHFL29,SEC RE NCD 8.75% SR.VII,995,,,0.01,1,EQUITY,,NSE_EQ,INE477L07AR0
NSE_EQ|INE477L07AQ2,7668,843IHFL29,SEC RE NCD 8.43% SR.VI,964,,,0.01,1,EQUITY,,NSE_EQ,INE477L07AQ2
NSE_EQ|INE461D01028,2289,HLEGLAS,HLE GLASCOAT LIMITED,437.25,,,0.05,1,EQUITY,,NSE_EQ,INE461D01028
NSE_EQ|INE846D01012,18235,LORDSCHLO,LORDS CHLORO ALKALI LTD,217.62,,,0.01,1,EQUITY,,NSE_EQ,INE846D01012
NSE_EQ|INE256A01028,3812,ZEEL,ZEE ENTERTAINMENT ENT LTD,116.32,,,0.01,1,EQUITY,,NSE_EQ,INE256A01028
NSE_EQ|INE417B01040,25690,DSSL,DYNACONS SYS & SOLN LTD,991.4,,,0.05,1,EQUITY,,NSE_EQ,INE417B01040
NSE_EQ|INE045A01017,34,ADOR,ADOR WELDING LTD,977.85,,,0.05,1,EQUITY,,NSE_EQ,INE045A01017
NSE_EQ|INE321T01012,20551,DOMS,DOMS INDUSTRIES LIMITED,2317.6,,,0.1,1,EQUITY,,NSE_EQ,INE321T01012
